P02760922A0000|0 56|Heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1
P09169127A0371|25 50|neuropeptide Y receptor genes
P10811804A0000|25 47|MAP) kinase phosphatase-3
P01970560A1024|25 45|aroF regulatory regions
P07534297A0141|25 42|HindIII DNA fragment
P01316903A0296|25 39|RNA polymerase II
P09566871A0343|25 38|Ty1 RNA, protein
P09840934A0435|25 36|Ha-RasV12S35
P10749145T0000|25 36|PCPH proteins
P08754802T0000|25 35|nuclear gene
P10612773A1210|25 33|S-100beta
P08922390A0361|25 32|vinculin
P06382374A0206|25 31|insulin
P09566871A0343|25 30|Ty1 RNA
P10544037A0617|25 29|FZD10
P01674817A0862|25 29|RNA14
P10794936A0241|25 28|BacT
P11472696A0387|25 27|CRP
P10022875A1265|25 27|Ras
P09673436A0898|25 27|ANP
P02623038A0632|25 26|FR
P09396722A0185|26 67|chloroplastic ascorbate peroxidase isoenzymes
P09368760A0665|26 55|Drosophila protein kinase DSTPK61
P08898893A0202|26 44|TNF-responsive genes
P02538720A0582|26 43|polyubiquitin genes
P08756636T0000|26 42|yeast Rad51 protein
